       t = T/4        t = T/2          t = T 
       0.878202       0.577306      -0.308615
       0.876757       0.576356      -0.308107
       0.875234       0.575356      -0.307573
       0.873633       0.574305      -0.307011
       0.871955       0.573202      -0.306421
       0.870199       0.572048      -0.305804
       0.868364       0.570843      -0.305161
       0.866453       0.569587      -0.304489
       0.864464        0.56828      -0.303791
       0.862397       0.566921      -0.303065
       0.860254       0.565512      -0.302312
       0.858034       0.564053      -0.301531
       0.855738       0.562543      -0.300724
       0.853365       0.560985       -0.29989
       0.850915       0.559377      -0.299029
        0.84839       0.557717      -0.298142
       0.845789       0.556008      -0.297228
       0.843113       0.554249      -0.296288
       0.840362        0.55244      -0.295321
       0.837535       0.550582      -0.294328
       0.834633       0.548674       -0.29331
       0.831656       0.546718      -0.292265
       0.828606       0.544712      -0.291194
       0.825481       0.542659      -0.290097
       0.822284       0.540556      -0.288974
       0.819013       0.538405      -0.287826
       0.815669       0.536206       -0.28665
       0.812253       0.533961      -0.285451
       0.808764       0.531667      -0.284227
       0.805204       0.529325      -0.282977
       0.801571       0.526936        -0.2817
       0.797867       0.524501      -0.280399
       0.794091       0.522019      -0.279071
       0.790244       0.519492       -0.27772
       0.786327       0.516916      -0.276343
       0.782339       0.514294      -0.274943
       0.778281       0.511627      -0.273517
       0.774155       0.508914      -0.272067
        0.76996       0.506157      -0.270592
       0.765695       0.503353      -0.269093
       0.761362       0.500505       -0.26757
        0.75696       0.497612      -0.266022
       0.752491       0.494675      -0.264452
       0.747955       0.491694      -0.262858
       0.743353       0.488668      -0.261242
       0.738684       0.485599      -0.259601
       0.733948       0.482486      -0.257937
       0.729148       0.479331      -0.256251
       0.724282       0.476133      -0.254541
       0.719352       0.472892      -0.252808
       0.714358       0.469609      -0.251052
       0.709299       0.466283      -0.249275
       0.704178       0.462917      -0.247475
       0.698994       0.459508      -0.245653
       0.693747        0.45606      -0.243809
       0.688439       0.452569      -0.241944
       0.683069       0.449038      -0.240056
       0.677638       0.445467      -0.238147
       0.672145       0.441856      -0.236216
       0.666592       0.438206      -0.234263
       0.660981       0.434517       -0.23229
       0.655312       0.430789      -0.230296
       0.649583       0.427022      -0.228284
       0.643795       0.423219      -0.226249
       0.637951       0.419376      -0.224194
        0.63205       0.415498      -0.222121
       0.626093       0.411581      -0.220027
        0.62008       0.407628      -0.217913
        0.61401       0.403638       -0.21578
       0.607887       0.399611      -0.213627
       0.601709       0.395549      -0.211456
       0.595477       0.391452      -0.209266
       0.589192        0.38732      -0.207057
       0.582855       0.383154       -0.20483
       0.576465       0.378953      -0.202585
       0.570025       0.374718      -0.200322
       0.563534       0.370452      -0.198041
       0.556991       0.366151      -0.195741
       0.550399       0.361817      -0.193423
       0.543758       0.357451      -0.191088
       0.537069       0.353054      -0.188737
       0.530332       0.348625      -0.186369
       0.523548       0.344164      -0.183985
       0.516717       0.339672      -0.181584
       0.509839        0.33515      -0.179168
       0.502915         0.3306      -0.176735
       0.495947       0.326019      -0.174288
       0.488934        0.32141      -0.171823
       0.481879       0.316771      -0.169344
        0.47478       0.312104      -0.166849
       0.467639       0.307409      -0.164338
       0.460456       0.302687      -0.161813
       0.453232       0.297939      -0.159274
       0.445967       0.293163      -0.156719
       0.438662       0.288362      -0.154152
       0.431319       0.283534      -0.151572
       0.423936       0.278682      -0.148977
       0.416516       0.273804      -0.146369
       0.409059       0.268902      -0.143748
       0.401565       0.263976      -0.141115
       0.394036       0.259026      -0.138469
       0.386471       0.254052      -0.135811
       0.378872       0.249057       -0.13314
       0.371239        0.24404      -0.130458
       0.363573       0.239001      -0.127764
       0.355874        0.23394      -0.125058
       0.348144       0.228859      -0.122341
       0.340382       0.223757      -0.119613
        0.33259       0.218635      -0.116877
       0.324769       0.213494      -0.114128
       0.316919       0.208332      -0.111368
        0.30904       0.203153      -0.108598
       0.301133       0.197956      -0.105818
         0.2932       0.192741      -0.103031
        0.28524       0.187509      -0.100234
       0.277254       0.182259     -0.0974271
       0.269243       0.176994     -0.0946123
       0.261208       0.171713     -0.0917894
        0.25315       0.166416     -0.0889572
       0.245069       0.161104      -0.086118
       0.236967       0.155777     -0.0832714
       0.228843       0.150437     -0.0804169
       0.220699       0.145083     -0.0775554
       0.212535       0.139716     -0.0746872
