1.7971	-0.814063	->	0.999662	0.998602
1.16484	2.27274	->	0.999662	0.998699
-0.813249	0.0611117	->	-0.969796	-0.992352
1.74155	0.685432	->	0.999662	0.998601
-1.22509	-0.699423	->	-0.969842	-0.99236
-2.55166	-1.02595	->	-0.969844	-0.992373
2.73155	-0.422928	->	0.999662	0.998601
-0.176489	1.39529	->	0.999662	0.998699
-2.1391	0.938373	->	-0.969839	-0.992355
0.828058	-2.28652	->	0.999662	0.998601
0.758384	0.68708	->	0.999662	0.998601
1.04337	-1.87983	->	0.999662	0.998601
0.344574	1.55389	->	0.999662	0.998698
2.96558	0.34106	->	0.999662	0.998601
-2.58786	1.07037	->	-0.969843	-0.99236
2.25346	-0.73233	->	0.999662	0.99858
1.08239	0.914432	->	1.08239	0.914432
1.02811	1.01324	->	1.02811	1.01324
0.909702	0.981572	->	0.909702	0.981572
-1.00301	-0.930008	->	-1.00301	-0.930008
-1.06149	-0.955838	->	-1.06149	-0.955838
-0.976422	-0.946174	->	-0.976422	-0.946174
-0.961095	-0.924488	->	-0.961095	-0.924488
1.08134	0.910803	->	1.08134	0.910803
0.969855	0.901518	->	0.969855	0.901518
-1.07336	-1.04322	->	-1.07336	-1.04322
-0.900067	-0.915389	->	-0.900067	-0.915389
-1.07892	-1.04823	->	-1.07892	-1.04823
0.964373	0.997821	->	0.964373	0.997821
1.05479	1.03036	->	1.05479	1.03036
0.988044	0.94982	->	0.988044	0.94982
-1.06554	-0.939164	->	-1.06554	-0.939164
-1.05702	-1.09245	->	-1.05702	-1.09245
1.04247	0.972084	->	1.04247	0.972084
-0.914009	-0.926007	->	-0.914009	-0.926007
0.9068	0.970644	->	0.9068	0.970644
-0.901182	-1.06266	->	-0.901182	-1.06266
-0.965904	-1.03747	->	-0.965904	-1.03747
1.02414	1.09926	->	1.02414	1.09926
0.90092	0.992454	->	0.90092	0.992454
-0.971716	-0.925541	->	-0.971716	-0.925541
-0.932336	-0.975319	->	-0.932336	-0.975319
1.00185	0.91358	->	1.00185	0.91358
-0.948262	-1.06449	->	-0.948262	-1.06449
-0.962767	-1.07188	->	-0.962767	-1.07188
0.989477	0.929661	->	0.989477	0.929661
1.07008	1.05486	->	1.07008	1.05486
0.937254	1.06374	->	0.937254	1.06374
-0.939141	-0.902022	->	-0.939141	-0.902022
-1.03134	-1.03305	->	-1.03134	-1.03305
1.08082	0.903052	->	1.08082	0.903052
-0.918063	-1.09034	->	-0.918063	-1.09034
0.937551	0.967244	->	0.937551	0.967244
1.04783	0.922135	->	1.04783	0.922135
-0.92029	-0.985288	->	-0.92029	-0.985288
-0.982798	-1.08701	->	-0.982798	-1.08701
0.917879	1.07214	->	0.917879	1.07214
1.00218	0.954352	->	1.00218	0.954352
-1.00968	-0.969017	->	-1.00968	-0.969017
-0.917238	-1.0047	->	-0.917238	-1.0047
1.08681	1.07637	->	1.08681	1.07637
-1.06253	-0.989631	->	-1.06253	-0.989631
-0.935747	-0.999301	->	-0.935747	-0.999301
-1.0183	-0.948214	->	-1.0183	-0.948214
0.945936	1.06983	->	0.945936	1.06983
-0.963871	-0.998873	->	-0.963871	-0.998873
-1.07918	-0.904729	->	-1.07918	-0.904729
1.05666	1.00005	->	1.05666	1.00005
-1.08187	-1.01349	->	-1.08187	-1.01349
0.976244	1.0897	->	0.976244	1.0897
-0.961674	-1.03956	->	-0.961674	-1.03956
-0.907851	-0.927869	->	-0.907851	-0.927869
1.06774	0.981481	->	1.06774	0.981481
-1.08382	-0.947786	->	-1.08382	-0.947786
-0.995501	-1.08148	->	-0.995501	-1.08148
-1.09011	-1.03858	->	-1.09011	-1.03858
1.02998	1.09525	->	1.02998	1.09525
1.05297	1.03967	->	1.05297	1.03967
0.937367	1.08138	->	0.937367	1.08138
1.03635	1.02572	->	1.03635	1.02572
1.04451	1.06357	->	1.04451	1.06357
1.08108	0.965398	->	1.08108	0.965398
1.03675	1.05645	->	1.03675	1.05645
-1.08186	-0.990379	->	-1.08186	-0.990379
0.961062	1.06363	->	0.961062	1.06363
0.950195	0.967795	->	0.950195	0.967795
